"Data source: Fishbase, Froese, R. and D. Pauly. Editors. 2019. FishBase. World Wide Web electronic publication. www.fishbase.org",,
"Data accessed using: Boettiger, C., Lang, D. T., & Wainwright, P. C. (2012). rfishbase: exploring, manipulating and visualizing FishBase data from R. Journal of Fish Biology, 81, 2030Ð2039. Data downloaded on 21.8.2019.",,
,,
Fishbase environment,Species,demersal or pelagic
demersal,Raja montagui,demersal
demersal,Raja undulata,demersal
bathydemersal,Rajella fyllae,demersal
pelagic-neritic,Sardina pilchardus,pelagic
pelagic-neritic,Scomber colias,pelagic
pelagic-neritic,Scomber scombrus,pelagic
demersal,Scophthalmus maximus,demersal
demersal,Scophthalmus rhombus,demersal
demersal,Scorpaena loppei,demersal
demersal,Scorpaena notata,demersal
demersal,Scorpaena scrofa,demersal
demersal,Scyliorhinus canicula,demersal
bathypelagic,Scymnodon ringens,pelagic
pelagic-oceanic,Sebastes norvegicus,pelagic
demersal,Sebastes viviparus,demersal
demersal,Serranus cabrilla,demersal
demersal,Serranus hepatus,demersal
demersal,Solea solea,demersal
demersal,Sparus aurata,demersal
pelagic-neritic,Spicara maena,pelagic
benthopelagic,Spinachia spinachia,pelagic
benthopelagic,Spondyliosoma cantharus,pelagic
pelagic-neritic,Sprattus sprattus,pelagic
benthopelagic,Squalus acanthias,pelagic
bathypelagic,Stomias boa boa,pelagic
demersal,Symphurus nigrescens,demersal
bathydemersal,Synaphobranchus kaupii,demersal
demersal,Synchiropus phaeton,demersal
demersal,Syngnathus acus,demersal
demersal,Syngnathus rostellatus,demersal
demersal,Taurulus bubalis,demersal
demersal,Trachinus draco,demersal
pelagic-oceanic,Trachurus mediterraneus,pelagic
benthopelagic,Trachurus picturatus,pelagic
pelagic-neritic,Trachurus trachurus,pelagic
bathydemersal,Trachyrincus scabrus,demersal
bathydemersal,Trigla lyra,demersal
demersal,Triglops murrayi,demersal
benthopelagic,Trisopterus esmarkii,pelagic
benthopelagic,Trisopterus luscus,pelagic
benthopelagic,Trisopterus minutus,pelagic
demersal,Umbrina canariensis,demersal
bathypelagic,Xenodermichthys copei,pelagic
demersal,Zeugopterus punctatus,demersal
demersal,Zeugopterus regius,demersal
benthopelagic,Zeus faber,pelagic
demersal,Zoarces viviparus,demersal
